Report,Chord,Strokes
a and A,4,ipf
b and B,D6,"ppf, mmf"
c and C,47,"ipf, mpf"
d and D,7A,"mpf, rpf"
e and E,7,mpf
f and F,74,"mpf, ipf"
g and G,76,"mpf, mmf"
h and H,C9,"pmf, rmf"
i and I,31,"imf, tpf"
j and J,34,"imf, ipf"
k and K,A7,"rpf, mpf"
l and L,A1,"rpf, tpf"
m and M,67,"mmf, mpf"
n and N,D,ppf
o and O,3,imf
p and P,43,"ipf, imf"
q and Q,90,"rmf, tmf"
r and R,A,rpf
s and S,C,pmf
t and T,9,rmf
u and U,6,mmf
v and V,61,"mmf, tpf"
w and W,9C,"rmf, pmf"
x and X,4D,"ipf, ppf"
y and Y,D5,"ppf, ime"
z and Z,71,"mpf, tpf"
1 and !,346,"imf, ipf, mmf"
2 and @,347,"imf, ipf, mpf"
3 and #,3467,"imf, ipf, mmf, mpf"
4 and $,3476,"imf, ipf, mpf, mmf"
5 and %,349,"imf, ipf, rmf"
6 and ^,34A,"imf, ipf, rpf"
7 and &,349A,"imf, ipf, rmf, rpf"
8 and *,34A9,"imf, ipf, rpf, rmf"
9 and (,34C,"imf, ipf, pmf"
0 and ),34D,"imf, ipf, ppf"
Return (ENTER),41,"ipf, tpf"
ESCAPE,DC,"ppf, pmf"
DELETE (Backspace),C0,"pmf, tmf"
Tab,CD,"pmf, ppf"
Spacebar,1,tpf
- and (underscore),5,ime
= and +,72,"mpf, tme"
[ and {,78,"mpf, mme"
] and },8,mme
\ and &#124;,AB,"rpf, rme"
Non-US # and ~,4A,"ipf, rpf"
; and :,42,"ipf, tme"
"' and """,434,"ipf, imf, ipf"
Grave Accent and Tilde,45,"ipf, ime"
", and <",46,"ipf, mmf"
. and >,D1,"ppf, tpf"
/ and ?,AC,"rpf, pmf"
Caps Lock,E,pme
F1,4A4,"ipf, rpf, ipf"
F2,4B,"ipf, rme"
F3,A61,"rpf, mmf, tpf"
F4,51,"ime, tpf"
F5,48,"ipf, mme"
F6,513,"ime, tpf, imf"
F7,54,"ime, ipf"
F8,56,"ime, mmf"
F9,57,"ime, mpf"
F10,58,"ime, mme"
F11,59,"ime, rmf"
F12,5A5,"ime, rpf, ime"
PrintScreen,5B,"ime, rme"
Scroll Lock,6E6,"mmf, pme, mmf"
Pause,713,"mpf, tpf, imf"
Insert,711,"mpf, tpf, tpf"
Home,69,"mmf, rmf"
PageUp,62,"mmf, tme"
Delete Forward,65,"mmf, ime"
End,676,"mmf, mpf, mmf"
PageDown,474,"ipf, mpf, ipf"
RightArrow,36,"imf, mmf"
LeftArrow,63,"mmf, imf"
DownArrow,6B,"mmf, rme"
UpArrow,767,"mpf, mmf, mpf"
Keypad Num Lock and Clear,717,"mpf, tpf, mpf"
Keypad /,727,"mpf, tme, mpf"
Keypad *,73,"mpf, imf"
Keypad -,747,"mpf, ipf, mpf"
Keypad +,75,"mpf, ime"
Keypad ENTER,76E,"mpf, mmf, pme"
Keypad 1 and End,78D,"mpf, mme, ppf"
Keypad 2 and Down Arrow,79,"mpf, rmf"
Keypad 3 and PageDn,7A769,"mpf, rpf, mpf, mmf, rmf"
Keypad 4 and Left Arrow,7B,"mpf, rme"
Keypad 5,8E,"mme, pme"
Keypad 6 and Right Arrow,81,"mme, tpf"
Keypad 7 and Home,82,"mme, tme"
Keypad 8 and Up Arrow,83,"mme, imf"
Keypad 9 and PageUp,84,"mme, ipf"
Keypad 0 and Insert,85,"mme, ime"
Keypad . and Delete,86E,"mme, mmf, pme"
Non-US \ and &#124;,87E,"mme, mpf, pme"
Application,89,"mme, rmf"
Power,8A,"mme, rpf"
Keypad =,8B,"mme, rme"
F13,9E,"rmf, pme"
F14,91,"rmf, tpf"
F15,92,"rmf, tme"
F16,383,"imf, mme, imf"
F17,914,"rmf, tpf, ipf"
F18,95,"rmf, ime"
F19,96,"rmf, mmf"
F20,97,"rmf, mpf"
F21,98,"rmf, mme"
F22,9A9,"rmf, rpf, rmf"
F23,9B,"rmf, rme"
F24,AE,"rpf, pme"
Execute,414,"ipf, tpf, ipf"
Help,6E,"mmf, pme"
Menu,A3,"rpf, imf"
Select,A4,"rpf, ipf"
Stop,A5,"rpf, ime"
Again,626,"mmf, tme, mmf"
Undo,7A7,"mpf, rpf, mpf"
Cut,A8,"rpf, mme"
Copy,A9,"rpf, rmf"
Paste,ABA,"rpf, rme, rpf"
Find,BE,"rme, pme"
Mute,B1B,"rme, tpf, rme"
Volume Up,B2,"rme, tme"
Volume Down,B3,"rme, imf"
Locking Caps Lock,B4,"rme, ipf"
Locking Num Lock,B5,"rme, ime"
Locking Scroll Lock,B6,"rme, mmf"
Keypad Comma,B7,"rme, mpf"
Keypad Equal Sign,B8,"rme, mme"
International1,B97,"rme, rmf, mpf"
International2,BAB,"rme, rpf, rme"
International3,611,"mmf, tpf, tpf"
International4,6E1,"mmf, pme, tpf"
International5,6E2,"mmf, pme, tme"
International6,6E3,"mmf, pme, imf"
International7,3E4,"imf, pme, ipf"
International8,6E5,"mmf, pme, ime"
International9,6E6A,"mmf, pme, mmf, rpf"
LANG1,6E7,"mmf, pme, mpf"
LANG2,6E8,"mmf, pme, mme"
LANG3,6E9,"mmf, pme, rmf"
LANG4,6EA,"mmf, pme, rpf"
LANG5,6EB,"mmf, pme, rme"
LANG6,618,"mmf, tpf, mme"
LeftControl,619,"mmf, tpf, rmf"
LeftShift,4E,"ipf, pme"
LeftAlt,61B,"mmf, tpf, rme"
Left GUI,62E,"mmf, tme, pme"
RightControl,621,"mmf, tme, tpf"
RightShift,6E26,"mmf, pme, tme, mmf"
RightAlt,623,"mmf, tme, imf"
Right GUI,3434,"imf, ipf, imf, ipf"
